set_id,year,pieces,t1,descr
00-1,1970,471,Legoland,Weetabix Castle
0011-2,1978,12,Town,Town Mini-Figures
0011-3,1987,2,Castle,Castle 2 for 1 Bonus Offer
0012-1,1979,12,Space,Space Mini-Figures
0013-1,1979,12,Space,Space Mini-Figures
0014-1,1979,12,Space,Space Mini-Figures
0015-1,1979,18,Space,Space Mini-Figures
0016-1,1978,15,Castle,Castle Mini Figures
00-2,1976,147,Legoland,Weetabix Promotional House 1
00-3,1976,149,Legoland,Weetabix Promotional House 2
00-4,1976,126,Legoland,Weetabix Promotional Windmill
005-1,1965,35,Classic,Basic Building Set in Cardboard
00-6,1985,3,Town,Special Offer
00-7,1976,3,Legoland,Weetabix Promotional Lego Village
010-1,1965,57,Classic,Basic Building Set in Cardboard
010-3,1968,77,Classic,Basic Building Set
011-1,1968,145,Classic,Basic Building Set
022-1,1968,110,Classic,Basic Building Set
03093-1,1999,70,Gear,The Race to Build It Board Game
033-2,1968,177,Classic,Basic Building Set
044-1,1968,225,Classic,Basic Building Set
055-2,1968,256,Classic,Basic Building Set
066-1,1968,407,Classic,Basic Building Set
080-1,1967,710,Classic,Basic Building Set with Train
088-1,1969,615,Universal Building Set,Super Set
10000-1,2001,256,Castle,Guarded Inn
10001-1,2001,785,Train,Metroliner
10002-1,2001,272,Train,Railroad Club Car
10003-1,2001,100,Bulk Bricks,1 x 2 Sand Red Bricks
10004-1,2001,100,Bulk Bricks,2 x 2 Sand Red Bricks
10005-1,2001,50,Bulk Bricks,2 x 4 Sand Red Bricks
10006-1,2001,50,Bulk Bricks,1 x 6 Sand Red Bricks
10007-1,2001,25,Bulk Bricks,2 x 4 Sand Red Ridge Roof Tiles Steep Slope
10008-1,2001,50,Bulk Bricks,2 x 4 Roof Tile Sand Red
10009-1,2001,62,Bulk Bricks,Assorted Blue Bricks
100-1,1966,16,Train,4.5V Motor with Wheels (Small Version)
10010-1,2003,63,Bulk Bricks,Assorted Yellow Bricks
10011-1,2001,42,Bulk Bricks,Assorted Blue Plates
